# verdict 를 채워주세요: CORRECT | FABRICATED | WRONG_MATCH | UNVERIFIABLE
#   CORRECT       AI 원안이 실존하고 카카오 매칭도 그 장소가 맞음
#   FABRICATED     AI 원안이 그 지역에 실존하지 않는데 무관한 장소로 매칭됨 (세탁된 환각)
#   WRONG_MATCH   AI 원안은 실존하는데 카카오가 엉뚱한 것을 매칭
#   UNVERIFIABLE  판단 불가
scoreBand,bestScore,requestId,day,location,aiPlaceName,matchedPlaceName,matchedAddress,matchedPlaceUrl,verdict,note
NO_RESULT,-1,16,3,순천,카페 듀플렉스,,,,FABRICATED,여러 검색에도 순천 소재 동명 카페 확인 안됨
NO_RESULT,-1,17,3,순천,카페 꼼마,,,,FABRICATED,카페꼼마는 실존 체인이나 홍대·신사·송도뿐 순천 지점 없음
NO_RESULT,-1,16,1,순천,순천만국가정원 푸드코트,,,,UNVERIFIABLE,정원 내 간식매장·편의점은 확인되나 푸드코트라는 명칭 확인 안됨
NO_RESULT,-1,15,3,강릉,정동진 해변횟집,,,,CORRECT,1970년 개업한 정동진 인근 실존 횟집으로 확인됨
NO_RESULT,-1,19,1,영주,카페 그날의온도,,,,FABRICATED,동명 업체는 전주·서울에만 있고 영주 지점 확인 안됨
NO_RESULT,-1,19,3,영주,카페 쉼표,,,,FABRICATED,재검색해도 영주 지점 실존 확인 안됨. 환각으로 확정
NO_RESULT,-1,19,3,영주,카페 무섬,,,,CORRECT,무섬마을 내 소규모 카페 존재하나 정확한 상호 확인 안됨
NO_RESULT,-1,17,2,순천,선암사전통찻집,,,,CORRECT,선암사 삼인당 앞 전통찻집(차의향기)이 실존함
NO_RESULT,-1,16,3,순천,낙안읍성 초가집식당,,,,FABRICATED,"재검색해도 낙안읍성 인근에서 이 이름의 실존 업체 확인 안됨(미향식당,향토,고향정가만 확인). 환각으로 확정"
NO_RESULT,-1,15,1,강릉,씨마크호텔 더 쉐프,,,,FABRICATED,씨마크호텔 레스토랑 정식 명칭은 더레스토랑이며 더쉐프는 확인 안됨
S1_4,3,16,2,순천,순천 드라마 촬영장,순천드라마촬영장,전남광주통합특별시 순천시 비례골길 24,http://place.map.kakao.com/27195962,CORRECT,표기 차이만 있는 동일 장소
S5_7,5,16,2,순천,순천 문화의 거리,순천문화의거리,전남광주통합특별시 순천시 행동 65-58,http://place.map.kakao.com/18905860,CORRECT,띄어쓰기 차이만 있는 동일 장소
S5_7,5,17,1,순천,낙안읍성식당,성풍관 난전3호관,전남광주통합특별시 순천시 낙안면 충민길 41-1,http://place.map.kakao.com/8245401,FABRICATED,낙안읍성식당은 특정 상호가 아닌 통칭으로 보이며 성풍관도 확인 안됨
S5_7,5,15,2,강릉,버드나무 브루어리,버드나무브루어리,강원특별자치도 강릉시 경강로 1961,http://place.map.kakao.com/27152913,CORRECT,띄어쓰기 차이만 있는 동일 장소
S5_7,5,15,3,강릉,정동진 레일바이크,정동진 해변,강원특별자치도 강릉시 강동면 정동진리 64-3,http://place.map.kakao.com/11164998,WRONG_MATCH,정동진 레일바이크는 실존 명소인데 카카오가 정동진 해변으로 오매칭
S5_7,5,16,1,순천,순천만습지 용산전망대,순천만 용산전망대,전남광주통합특별시 순천시 해룡면 순천만길 513-51,http://place.map.kakao.com/1133962119,CORRECT,띄어쓰기 차이만 있는 동일 장소
S5_7,5,17,3,순천,순천아랫장국밥거리,웃장 국밥골목,전남광주통합특별시 순천시 북문길 40,http://place.map.kakao.com/306291609,FABRICATED,순천 국밥거리는 아랫장이 아닌 웃장에 있어 AI가 시장을 혼동한 것으로 보임
S8_10,10,15,1,강릉,보사노바,보사노바 커피로스터스 강릉점,강원특별자치도 강릉시 창해로14번길 28,http://place.map.kakao.com/27320313,CORRECT,동일 브랜드의 정식 상호
S8_10,8,16,1,순천,스카이큐브,스카이큐브 사무실,전남광주통합특별시 순천시 강변로 435,http://place.map.kakao.com/389181911,CORRECT,동일 시설(스카이큐브)의 운영 사무실로 매칭됨
S8_10,10,15,3,강릉,하슬라아트월드,하슬라아트월드,강원특별자치도 강릉시 강동면 율곡로 1441,http://place.map.kakao.com/8143646,CORRECT,이름 완전 일치
S8_10,8,15,1,강릉,강릉역,강릉역,강원특별자치도 강릉시 용지로 176,http://place.map.kakao.com/8632588,CORRECT,이름 완전 일치
S8_10,8,16,3,순천,순천역,순천역,전남광주통합특별시 순천시 팔마로 135,http://place.map.kakao.com/18049670,CORRECT,이름 완전 일치
S8_10,8,16,2,순천,청춘창고,청춘창고,전남광주통합특별시 순천시 역전길 34,http://place.map.kakao.com/744097924,CORRECT,이름 완전 일치
S8_10,10,19,1,영주,순흥전통묵집,순흥전통묵집,경북 영주시 순흥면 순흥로39번길 21,http://place.map.kakao.com/21515429,CORRECT,이름 완전 일치
S8_10,8,16,2,순천,건봉국밥,건봉국밥,전남광주통합특별시 순천시 장평로 65,http://place.map.kakao.com/14502586,CORRECT,이름 완전 일치
S8_10,8,16,1,순천,순천만습지,순천만습지,전남광주통합특별시 순천시 순천만길 513-25,http://place.map.kakao.com/1191246407,CORRECT,이름 완전 일치
S8_10,8,19,1,영주,영주365시장,영주365시장,경북 영주시 영주로 204,http://place.map.kakao.com/1721077295,CORRECT,이름 완전 일치
