requestId,location,regionTier,keywordSet,day,placeIndex,placeName,slotType,latitude,longitude,source,dayStartTime,travelMode
1,경주,FAMOUS,A,1,0,경주 동부 사적지대,ATTRACTION,35.8354105,129.2179617,LISTED,10:00,WALK
1,경주,FAMOUS,A,1,1,경주대릉원,STROLL,35.8381327,129.2123207,SEEDED,10:00,WALK
1,경주,FAMOUS,A,1,2,료코,MEAL,35.8353096,129.2127623,SEEDED,10:00,WALK
1,경주,FAMOUS,A,1,3,양지다방,CAFE,35.8372696,129.2092062,SEEDED,10:00,WALK
1,경주,FAMOUS,A,1,4,무궁미가,SHOPPING,35.8388103,129.2092704,SEEDED,10:00,WALK
1,경주,FAMOUS,A,1,5,청온채,MEAL,35.8376216,129.2087986,SEEDED,10:00,WALK
1,경주,FAMOUS,A,2,0,경주 문무대왕릉,ATTRACTION,35.7381432,129.4868299,LISTED,09:00,WALK
1,경주,FAMOUS,A,2,1,월정교,STROLL,35.8293658,129.2173527,SEEDED,09:00,WALK
1,경주,FAMOUS,A,2,2,교촌삼백년집 경주본점,MEAL,35.8304061,129.2157683,SEEDED,09:00,WALK
1,경주,FAMOUS,A,2,3,교촌마을,EXPERIENCE,35.8302886,129.2164809,SEEDED,09:00,WALK
1,경주,FAMOUS,A,2,4,교촌가람,CAFE,35.8301741,129.2156291,SEEDED,09:00,WALK
1,경주,FAMOUS,A,2,5,향화정,MEAL,35.8380096,129.2091926,SUGGESTED,09:00,WALK
1,경주,FAMOUS,A,3,0,관광역사공원,STROLL,35.8525750,129.2702914,SEEDED,08:30,WALK
1,경주,FAMOUS,A,3,1,보문정(경주),VIEWPOINT,35.8413251,129.2892803,LISTED,08:30,WALK
1,경주,FAMOUS,A,3,2,맷돌순두부,MEAL,35.8515229,129.2628250,SEEDED,08:30,WALK
1,경주,FAMOUS,A,3,3,구릉,CAFE,35.8526848,129.2649228,SEEDED,08:30,WALK
1,경주,FAMOUS,A,3,4,경주레저,EXPERIENCE,35.8490616,129.2654073,SEEDED,08:30,WALK
1,경주,FAMOUS,A,3,5,효은옥 경주분점,MEAL,35.8525130,129.2647527,SEEDED,08:30,WALK
2,경주,FAMOUS,B,1,0,보문정(경주),ATTRACTION,35.8413251,129.2892803,LISTED,09:30,CAR
2,경주,FAMOUS,B,1,1,보문호,STROLL,35.8458819,129.2751380,SEEDED,09:30,CAR
2,경주,FAMOUS,B,1,2,아빠피자 한화리조트경주점,MEAL,35.8594326,129.2699018,SEEDED,09:30,CAR
2,경주,FAMOUS,B,1,3,엘로우,CAFE,35.8450628,129.2719235,SEEDED,09:30,CAR
